,A,Enterobacterales (taxid 91347),Enterobacteriaceae (taxid 543),Escherichia coli (taxid 562),Gammaproteobacteria (taxid 1236),Salmonella (taxid 590),Salmonella enterica (taxid 28901),Salmonella enterica subsp. enterica (taxid 59201),Salmonella enterica subsp. enterica serovar Rubislaw (taxid 598),Salmonella enterica subsp. enterica serovar Typhimurium (taxid 90371),Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S (taxid 588858),Streptococcus pneumoniae (taxid 1313),Unclassified Contamination,Non Bacterial
0.52,0,2,30,0,1,78,3,0,0,0,0,0,0,0
0.53,0,3,24,0,0,114,5,0,0,0,0,0,0,0
0.54,0,0,27,0,0,70,14,0,0,0,0,0,0,0
0.55,0,0,24,0,0,79,6,0,0,0,0,0,0,0
0.56,0,7,19,0,1,106,0,0,0,0,0,0,0,0
0.57,0,4,36,0,0,123,3,0,0,0,0,0,0,0
0.58,0,10,23,0,0,124,2,1,0,0,0,0,0,0
0.59,0,6,20,0,0,95,0,0,0,0,0,0,0,0
0.6,0,2,22,0,2,118,6,0,0,0,0,0,0,0
0.61,0,0,23,0,0,144,10,0,0,0,0,0,0,0
0.62,0,6,21,0,0,138,3,0,0,0,0,0,0,0
0.63,0,6,10,0,0,172,3,0,0,0,0,0,0,0
0.64,0,3,28,0,0,122,1,0,0,0,0,0,0,0
0.65,0,4,7,0,0,181,7,0,0,0,0,0,0,0
0.66,0,3,4,0,1,190,7,0,0,0,0,0,0,0
0.67,1,6,11,0,0,166,3,0,0,0,0,0,0,0
0.68,0,10,10,0,0,168,1,0,0,0,0,0,0,0
0.69,0,6,12,0,0,203,9,0,0,0,0,0,0,0
0.7,0,3,15,0,0,183,4,0,0,0,0,0,0,0
0.71,0,10,12,0,1,184,3,0,0,0,0,0,0,0
0.72,0,6,10,0,0,201,3,0,0,0,0,0,0,0
0.73,0,7,10,0,0,206,0,0,0,0,0,0,0,0
0.74,0,3,16,0,0,194,11,0,0,0,0,0,0,0
0.75,0,6,13,0,0,235,1,0,0,0,0,2,0,0
0.76,0,0,12,0,0,283,0,0,0,0,0,0,0,0
0.77,0,0,26,0,0,297,3,0,0,0,0,0,0,0
0.78,0,3,3,0,0,268,5,0,0,0,0,0,0,0
0.79,0,0,6,0,0,291,3,0,0,0,0,0,0,0
0.8,0,0,2,0,0,268,0,0,0,0,0,0,0,0
0.81,0,3,8,0,0,260,8,0,0,0,0,0,0,0
0.82,0,0,13,0,0,267,9,0,0,0,0,0,0,0
0.83,0,0,8,0,0,311,0,0,0,0,0,0,0,0
0.84,0,0,3,0,0,251,5,0,0,0,0,0,0,0
0.85,0,0,10,0,0,311,9,0,0,0,0,0,0,0
0.86,0,0,11,0,0,321,3,0,0,0,0,0,0,0
0.87,0,0,4,0,0,284,5,0,0,0,0,0,0,0
0.88,0,0,4,0,0,257,5,0,0,0,0,0,0,0
0.89,0,0,7,0,0,320,7,0,0,0,0,0,0,0
0.9,0,0,12,0,0,297,6,0,0,0,0,0,0,0
0.91,0,0,11,0,0,225,12,0,0,0,0,0,0,0
0.92,0,0,2,0,0,234,6,0,0,0,0,0,0,0
0.93,0,0,9,0,0,274,16,0,0,0,0,0,0,0
0.94,0,0,5,0,0,232,5,0,0,0,0,0,0,0
0.95,0,0,6,0,0,216,4,0,0,0,0,0,0,0
0.96,0,0,9,0,0,205,8,0,0,0,0,0,0,0
0.97,0,0,5,0,0,158,5,0,0,0,0,0,0,0
0.98,0,0,10,0,0,143,8,0,0,0,0,0,0,0
0.99,0,0,9,0,0,104,7,0,0,0,0,2,0,0
1.0,0,1,115,0,3,472,75,0,0,0,0,1,104,0
